saved_at_utc,saved_at_manila,target_manila,target_utc,frozen_manila,pagasa_exact_temperature,v21_final,v21_estimated,v22_final,metar_last_residual,metar_residual_ewma,pagasa_residual,pagasa_ewma,pagasa_observation_number,weather_regime,convective_score,convective_risk,station_spread,network_change_5m,network_change_15m,ipar_temperature,itag_temperature,ipas_temperature,sonoff_temperature,sonoff_humidity,source
2026-09-14T07:57:39Z,2026-09-14 15:57:39,2026-09-14 16:00,2026-09-14 08:00Z,2026-09-14 15:55:30,32.3,34.0,33.51,34.0,0.15,-0.17,-1.21,-0.61,30,heating,1,low,1.86,0.21,-0.21,32.5,34.7,34.4,32.4,61.6,PAGASA_phone
2026-09-16T02:57:18Z,2026-09-16 10:57:18,2026-09-16 11:00,2026-09-16 03:00Z,2026-09-16 10:55:30,31.8,31.0,31.17,31.0,-0.49,-0.67,0.63,-0.18,31,convective,4,moderate,1.87,-0.17,-0.21,32.0,31.6,31.0,29.9,75.4,PAGASA_phone
2026-09-17T05:57:33Z,2026-09-17 13:57:33,2026-09-17 14:00,2026-09-17 06:00Z,2026-09-17 13:55:30,31.2,32.0,32.03,31.0,-0.71,-0.35,-0.83,-0.41,32,outflow,5,high,2.82,-0.16,0.33,30.4444444444444,33.6,32.5,30.6,74.6,PAGASA_phone
2026-09-18T02:59:59Z,2026-09-18 10:59:59,2026-09-18 11:00,2026-09-18 03:00Z,2026-09-18 10:55:30,31.5,32.0,32.31,33.0,0.36,0.63,-0.81,-0.55,33,heating,,none,1.42,0.11,0.49,31.4444444444444,33.2,33.3,29.0,78.0,PAGASA_phone
2026-09-19T02:57:18Z,2026-09-19 10:57:18,2026-09-19 11:00,2026-09-19 03:00Z,2026-09-19 10:55:30,32.2,32.0,32.42,32.0,-0.26,-0.29,-0.22,-0.43,34,convective,3,moderate,1.5,-0.17,0.24,32.0555555555556,33.9,33.6,29.5,76.6,PAGASA_phone
2026-09-19T03:57:46Z,2026-09-19 11:57:46,2026-09-19 12:00,2026-09-19 04:00Z,2026-09-19 11:55:30,33.6,33.0,33.08,33.0,-0.42,-0.36,0.52,-0.1,35,convective,4,moderate,1.49,-0.23,0.18,32.6666666666667,34.5,34.8,30.3,72.2,PAGASA_phone
2026-09-19T04:56:50Z,2026-09-19 12:56:50,2026-09-19 12:00,2026-09-19 04:00Z,2026-09-19 11:55:30,34.3,33.0,33.08,33.0,-0.08,-0.21,1.22,0.36,36,convective,4,moderate,1.49,-0.23,0.18,32.6666666666667,34.5,34.8,31.5,64.3,PAGASA_phone
2026-09-20T02:57:25Z,2026-09-20 10:57:25,2026-09-20 11:00,2026-09-20 03:00Z,2026-09-20 10:55:30,32.2,32.0,32.32,31.0,-1.1,-1.51,-0.12,0.19,37,convective,4,moderate,1.63,-0.23,-0.21,32.5555555555556,33.4,32.3,29.7,71.0,PAGASA_phone
2026-09-20T03:56:55Z,2026-09-20 11:56:55,2026-09-20 12:00,2026-09-20 04:00Z,2026-09-20 11:55:30,32.6,33.0,32.96,33.0,-0.32,-0.86,-0.36,-0.0,38,stable,1,low,1.03,0.02,0.2,33.0555555555556,34.0,33.5,30.5,65.6,PAGASA_phone
2026-09-21T02:57:26Z,2026-09-21 10:57:26,2026-09-21 11:00,2026-09-21 03:00Z,2026-09-21 10:55:30,30.9,32.0,31.82,31.0,-1.01,-0.65,-0.92,-0.32,39,stable,,none,0.61,-0.04,0.15,32.1666666666667,31.9,32.6,29.6,76.2,PAGASA_phone
2026-09-22T03:57:01Z,2026-09-22 11:57:01,2026-09-22 12:00,2026-09-22 04:00Z,2026-09-22 11:55:30,31.9,33.0,32.5,32.0,-0.34,-0.17,-0.6,-0.42,40,heating,1,low,0.81,0.4,0.38,32.6666666666667,32.2,33.0,30.0,76.0,PAGASA_phone
2026-09-22T04:57:43Z,2026-09-22 12:57:43,2026-09-22 13:00,2026-09-22 05:00Z,2026-09-22 12:55:30,31.9,32.0,32.28,31.0,-1.5,-0.9,-0.38,-0.41,41,stable,1,low,0.84,-0.01,-0.14,32.2222222222222,33.4,33.4,31.2,71.9,PAGASA_phone
